customer_id,feedback_month,satisfaction_score,nps_score,feedback_category
CUST_00813,2025-03-01,7,31,Product
CUST_00826,2025-12-01,8,23,Integration
CUST_00828,2025-04-01,7,22,Support
CUST_00833,2025-02-01,5,-2,Features
CUST_00835,2025-02-01,9,30,Product
CUST_00838,2025-11-01,5,16,Features
CUST_00849,2025-04-01,8,44,Product
CUST_00855,2024-11-01,6,9,Features
CUST_00865,2025-07-01,8,53,Integration
CUST_00866,2025-06-01,6,30,Product
CUST_00869,2025-12-01,10,56,Integration
CUST_00870,2025-01-01,7,26,Product
CUST_00881,2025-11-01,7,1,Product
CUST_00882,2024-05-01,6,1,Features
CUST_00893,2024-06-01,7,13,Product
CUST_00893,2025-12-01,8,48,Product
CUST_00893,2024-04-01,8,15,Product
CUST_00893,2024-07-01,7,31,Features
CUST_00902,2025-12-01,6,7,Features
CUST_00902,2025-12-01,7,29,Product
CUST_00911,2025-10-01,6,12,Features
CUST_00914,2025-10-01,8,46,Product
CUST_00916,2025-02-01,8,20,Product
CUST_00934,2025-01-01,7,28,Support
CUST_00938,2025-11-01,7,20,Features
CUST_00938,2025-04-01,7,26,Product
CUST_00940,2025-07-01,9,39,Features
CUST_00953,2025-10-01,7,25,Product
CUST_00954,2025-08-01,6,5,Features
CUST_00955,2025-12-01,6,13,Support
CUST_00956,2025-09-01,7,17,Product
CUST_00956,2025-09-01,6,-2,Product
CUST_00961,2024-12-01,8,7,Product
CUST_00962,2025-12-01,8,21,Product
CUST_00962,2024-08-01,9,38,Integration
CUST_00972,2025-09-01,6,6,Product
CUST_00972,2025-01-01,8,30,Features
CUST_00976,2025-10-01,7,16,Product
CUST_00980,2025-03-01,7,27,Product
CUST_00984,2025-12-01,7,22,Product
CUST_00985,2025-10-01,6,3,Product
CUST_00986,2025-01-01,6,4,Support
CUST_00987,2025-06-01,6,8,Support
CUST_00989,2025-08-01,8,29,Integration
CUST_00990,2024-11-01,9,41,Product
CUST_00991,2025-04-01,6,19,Support
CUST_00991,2025-11-01,9,30,Features
CUST_00996,2024-07-01,8,42,Features
CUST_00999,2025-10-01,5,-5,Product
CUST_01004,2025-09-01,8,36,Features
CUST_01005,2025-09-01,6,6,Product
CUST_01006,2025-11-01,8,24,Product
CUST_01013,2025-10-01,7,-3,Support
CUST_01018,2024-10-01,6,3,Support
CUST_01018,2024-11-01,7,30,Features
CUST_01018,2025-11-01,7,22,Features
CUST_01041,2024-10-01,9,37,Product
CUST_01043,2025-10-01,7,-2,Product
CUST_01048,2025-07-01,7,17,Product
CUST_01049,2025-03-01,9,22,Product
CUST_01051,2025-09-01,8,18,Product
CUST_01051,2024-12-01,8,26,Features
CUST_01052,2025-10-01,5,2,Features
CUST_01053,2025-01-01,6,13,Product
CUST_01054,2025-08-01,9,46,Product
CUST_01056,2025-04-01,7,10,Support
CUST_01056,2024-11-01,5,2,Support
CUST_01064,2024-07-01,6,25,Product
CUST_01065,2024-07-01,7,18,Product
CUST_01067,2025-04-01,3,-33,Support
CUST_01078,2025-07-01,8,12,Features
CUST_01086,2025-09-01,8,19,Features
CUST_01090,2025-12-01,6,-22,Product
CUST_01113,2025-11-01,8,16,Integration
CUST_01113,2025-04-01,9,33,Features
CUST_01116,2025-12-01,8,35,Product
CUST_01125,2025-06-01,10,49,Features
CUST_01130,2025-12-01,5,7,Features
CUST_01131,2025-07-01,8,26,Features
CUST_01132,2025-11-01,6,-9,Features
CUST_01137,2025-01-01,7,11,Support
CUST_01142,2025-01-01,6,-14,Features
CUST_01149,2025-06-01,8,-1,Product
CUST_01149,2024-06-01,7,5,Support
CUST_01153,2025-10-01,6,17,Product
CUST_01157,2024-08-01,6,-1,Features
CUST_01166,2025-01-01,8,34,Product
CUST_01167,2025-11-01,4,-24,Product
CUST_01169,2025-02-01,7,28,Features
CUST_01178,2025-11-01,6,3,Features
CUST_01182,2025-12-01,6,14,Features
CUST_01189,2025-09-01,8,25,Features
CUST_01193,2024-10-01,5,-9,Product
CUST_01195,2025-06-01,5,-2,Support
CUST_01198,2025-06-01,7,22,Product
CUST_01198,2025-09-01,6,8,Support
CUST_01207,2025-05-01,7,23,Product
CUST_01207,2025-09-01,5,12,Features
CUST_01212,2025-10-01,7,22,Product
CUST_01215,2024-11-01,8,40,Product
CUST_01219,2025-12-01,5,-6,Support
CUST_01221,2025-08-01,9,26,Product
CUST_01222,2025-06-01,8,14,Product
CUST_01225,2025-06-01,7,25,Features
CUST_01225,2025-04-01,8,37,Product
CUST_01225,2025-05-01,8,50,Product
CUST_01226,2025-06-01,9,55,Product
CUST_01231,2025-11-01,7,13,Support
CUST_01231,2024-11-01,6,22,Features
CUST_01234,2025-07-01,8,33,Product
CUST_01234,2025-06-01,8,36,Product
CUST_01235,2025-09-01,9,10,Product
CUST_01243,2025-05-01,8,34,Features
CUST_01249,2025-11-01,8,35,Integration
CUST_01258,2025-03-01,8,20,Product
CUST_01258,2025-01-01,9,23,Product
CUST_01261,2025-09-01,8,33,Product
CUST_01266,2024-08-01,6,10,Product
CUST_01266,2025-04-01,8,38,Features
CUST_01271,2024-07-01,7,23,Product
CUST_01275,2025-11-01,9,60,Integration
CUST_01276,2025-09-01,7,2,Product
CUST_01279,2025-10-01,7,7,Product
CUST_01282,2025-11-01,9,62,Product
CUST_01288,2025-05-01,10,66,Product
CUST_01291,2025-03-01,8,35,Integration
CUST_01294,2025-10-01,7,21,Support
CUST_01300,2024-04-01,9,30,Product
CUST_01300,2025-12-01,7,15,Product
CUST_01302,2024-12-01,7,15,Product
CUST_01306,2025-12-01,7,11,Features
CUST_01312,2025-09-01,8,6,Features
CUST_01312,2025-05-01,8,51,Features
CUST_01312,2025-01-01,7,9,Product
CUST_01314,2025-07-01,9,27,Features
CUST_01319,2025-06-01,7,26,Features
CUST_01321,2025-08-01,9,32,Integration
CUST_01324,2025-12-01,8,36,Product
CUST_01329,2025-07-01,7,8,Product
CUST_01331,2025-01-01,9,38,Product
CUST_01335,2025-09-01,8,4,Product
CUST_01336,2025-12-01,5,0,Product
CUST_01337,2025-02-01,6,27,Support
CUST_01345,2025-08-01,7,21,Features
CUST_01350,2024-06-01,6,5,Product
CUST_01355,2024-11-01,7,32,Support
CUST_01356,2025-04-01,5,-10,Product
CUST_01360,2025-08-01,7,25,Support
CUST_01364,2025-03-01,5,-9,Features
CUST_01366,2025-09-01,6,12,Support
CUST_01372,2025-01-01,9,25,Product
CUST_01375,2025-07-01,8,32,Integration
CUST_01386,2025-03-01,6,-1,Product
CUST_01386,2025-08-01,7,17,Features
CUST_01387,2025-10-01,5,11,Support
CUST_01393,2025-06-01,6,6,Product
CUST_01405,2025-03-01,8,37,Product
CUST_01407,2025-09-01,9,51,Product
CUST_01419,2025-03-01,7,24,Support
CUST_01440,2024-07-01,7,7,Features
CUST_01442,2024-08-01,8,26,Features
CUST_01442,2025-06-01,7,28,Product
CUST_01464,2024-09-01,8,7,Product
CUST_01466,2025-08-01,7,19,Product
CUST_01467,2025-05-01,5,-7,Features
CUST_01471,2025-05-01,6,0,Product
CUST_01474,2024-09-01,8,29,Product
CUST_01475,2025-12-01,4,-9,Support
CUST_01478,2025-10-01,9,33,Product
CUST_01481,2025-04-01,6,22,Support
CUST_01481,2025-10-01,8,33,Integration
CUST_01489,2025-04-01,9,30,Integration
CUST_01493,2025-05-01,6,-9,Features
CUST_01494,2025-08-01,8,32,Product
CUST_01502,2024-02-01,6,8,Features
CUST_01502,2025-12-01,8,31,Integration
CUST_01515,2024-08-01,7,9,Features
CUST_01520,2025-03-01,6,-1,Features
CUST_01523,2025-07-01,6,11,Product
CUST_01524,2025-01-01,8,25,Product
CUST_01530,2024-03-01,6,-9,Support
CUST_01530,2024-05-01,7,32,Product
CUST_01531,2025-10-01,7,37,Support
CUST_01535,2025-01-01,6,3,Product
CUST_01541,2024-08-01,7,-2,Product
CUST_01542,2025-07-01,8,16,Features
CUST_01544,2025-11-01,9,16,Integration
CUST_01545,2025-06-01,7,35,Product
CUST_01547,2025-07-01,8,11,Product
CUST_01548,2025-06-01,7,29,Product
CUST_01558,2025-06-01,4,-11,Product
CUST_01559,2025-05-01,8,40,Product
CUST_01563,2025-08-01,7,36,Features
CUST_01566,2025-09-01,8,46,Product
CUST_01575,2025-11-01,8,32,Product
CUST_01575,2025-11-01,8,29,Product
CUST_01580,2025-10-01,7,20,Features
CUST_01589,2025-09-01,10,38,Product
CUST_01590,2025-01-01,8,25,Product
CUST_01601,2025-10-01,7,38,Support
CUST_01604,2025-05-01,5,6,Product
CUST_01606,2025-09-01,8,32,Features
CUST_01607,2025-09-01,8,35,Features
CUST_01610,2025-10-01,6,1,Features
CUST_01613,2025-09-01,5,-9,Product
CUST_01619,2025-04-01,5,19,Support
CUST_01620,2024-10-01,6,7,Features
CUST_01621,2025-08-01,9,42,Integration
CUST_01623,2024-09-01,6,7,Product
CUST_01625,2025-04-01,7,-5,Features
CUST_01627,2025-08-01,7,15,Product
CUST_01643,2024-11-01,6,21,Features
CUST_01648,2025-05-01,10,46,Product
CUST_01658,2025-07-01,6,37,Support
CUST_01673,2025-10-01,9,32,Features
CUST_01677,2025-08-01,9,38,Product
CUST_01680,2025-07-01,7,25,Product
CUST_01686,2025-02-01,6,14,Product
CUST_01689,2024-08-01,8,28,Features
CUST_01692,2024-11-01,5,0,Product
CUST_01692,2025-04-01,6,-8,Features
CUST_01694,2025-05-01,6,13,Product
CUST_01696,2025-01-01,8,32,Product
CUST_01702,2025-10-01,7,9,Product
CUST_01704,2025-08-01,10,34,Product
CUST_01705,2024-11-01,5,-23,Product
CUST_01710,2024-06-01,9,34,Features
CUST_01714,2025-06-01,8,26,Features
CUST_01717,2025-05-01,8,33,Integration
CUST_01719,2025-05-01,7,40,Support
CUST_01727,2025-11-01,8,63,Product
CUST_01736,2024-12-01,9,56,Product
CUST_01738,2025-01-01,8,23,Features
CUST_01741,2025-07-01,5,30,Support
CUST_01742,2025-08-01,6,16,Product
CUST_01744,2025-03-01,8,24,Product
CUST_01744,2025-09-01,7,9,Product
CUST_01745,2025-10-01,6,13,Support
CUST_01746,2025-06-01,8,34,Product
CUST_01749,2025-09-01,6,27,Product
CUST_01754,2024-09-01,8,21,Product
CUST_01758,2024-11-01,7,18,Support
CUST_01758,2024-12-01,6,1,Support
CUST_01761,2025-01-01,8,21,Features
CUST_01766,2025-08-01,9,11,Features
CUST_01771,2024-07-01,8,19,Integration
CUST_01777,2025-01-01,8,0,Product
CUST_01783,2025-06-01,6,14,Support
CUST_01786,2024-10-01,5,-11,Support
CUST_01786,2024-05-01,6,1,Product
CUST_01789,2024-07-01,6,-5,Product
CUST_01789,2025-11-01,6,8,Features
CUST_01792,2025-07-01,9,25,Product
CUST_01793,2025-05-01,7,24,Features
CUST_01807,2025-10-01,5,-20,Features
CUST_01807,2025-04-01,7,3,Features
CUST_01810,2025-09-01,7,-6,Product
CUST_01814,2025-06-01,8,18,Product
CUST_01814,2025-03-01,8,47,Integration
CUST_01815,2024-11-01,7,21,Product
CUST_01817,2024-03-01,7,26,Features
CUST_01820,2025-02-01,9,35,Product
CUST_01830,2025-10-01,7,3,Support
CUST_01830,2025-05-01,7,27,Features
CUST_01830,2025-01-01,9,28,Features
CUST_01833,2025-11-01,8,46,Product
CUST_01836,2025-07-01,6,20,Features
CUST_01837,2025-05-01,7,24,Product
CUST_01839,2025-05-01,7,0,Features
CUST_01839,2025-10-01,6,15,Product
CUST_01840,2025-06-01,7,28,Features
CUST_01844,2025-11-01,8,20,Product
CUST_01848,2024-06-01,10,41,Product
CUST_01849,2025-02-01,6,-4,Support
CUST_01849,2025-03-01,8,49,Features
CUST_01851,2024-11-01,5,-9,Features
CUST_01853,2024-11-01,6,6,Product
CUST_01854,2025-09-01,6,0,Features
CUST_01854,2025-12-01,9,34,Product
CUST_01858,2025-02-01,6,24,Support
CUST_01861,2025-12-01,8,23,Product
CUST_01864,2025-11-01,6,-4,Features
CUST_01865,2025-06-01,7,3,Product
CUST_01867,2025-03-01,6,25,Features
CUST_01871,2025-03-01,8,31,Product
CUST_01872,2025-04-01,8,22,Integration
CUST_01872,2025-03-01,5,-20,Support
CUST_01877,2025-05-01,6,27,Support
CUST_01880,2025-09-01,7,25,Product
CUST_01884,2025-01-01,7,-2,Support
CUST_01888,2024-10-01,7,31,Support
CUST_01890,2025-06-01,9,16,Product
CUST_01899,2025-04-01,9,50,Product
CUST_01899,2025-06-01,9,38,Features
CUST_01901,2025-01-01,8,26,Features
CUST_01906,2024-09-01,9,21,Features
CUST_01906,2025-10-01,7,6,Features
CUST_01907,2025-11-01,6,7,Features
CUST_01909,2025-06-01,8,55,Product
CUST_01909,2025-01-01,8,40,Product
CUST_01911,2025-01-01,9,12,Features
CUST_01911,2025-12-01,7,25,Product
CUST_01921,2024-09-01,7,18,Product
CUST_01921,2025-02-01,6,27,Product
CUST_01922,2025-12-01,6,19,Features
CUST_01923,2025-05-01,8,15,Features
CUST_01924,2024-04-01,8,-1,Integration
CUST_01924,2024-12-01,8,48,Product
CUST_01937,2025-07-01,7,29,Support
CUST_01938,2025-12-01,7,30,Features
CUST_01941,2025-09-01,7,24,Product
CUST_01946,2025-09-01,7,-22,Support
CUST_01949,2024-10-01,8,20,Product
CUST_01953,2025-09-01,9,59,Features
CUST_01958,2025-03-01,7,29,Support
CUST_01958,2025-02-01,6,9,Product
CUST_01959,2025-05-01,7,22,Features
CUST_01965,2025-03-01,6,12,Support
CUST_01966,2025-10-01,6,-6,Features
CUST_01979,2025-04-01,9,33,Integration
CUST_01982,2024-12-01,7,11,Features
CUST_01982,2025-06-01,7,32,Product
CUST_01985,2025-07-01,8,17,Product
CUST_01985,2025-04-01,7,17,Product
CUST_01991,2024-08-01,7,29,Product
CUST_01991,2025-07-01,9,53,Product
CUST_01997,2025-09-01,6,7,Product
CUST_01999,2025-10-01,7,34,Support
CUST_02001,2024-11-01,7,41,Product
CUST_02012,2025-07-01,8,18,Integration
CUST_02013,2025-10-01,8,33,Product
CUST_02014,2024-05-01,7,15,Features
CUST_02014,2025-11-01,8,36,Product
CUST_02016,2025-10-01,8,36,Product
CUST_02018,2024-09-01,7,16,Product
CUST_02020,2025-09-01,10,51,Features
CUST_02023,2025-10-01,6,11,Support
CUST_02023,2025-11-01,5,11,Features
CUST_02024,2025-04-01,6,-7,Product
CUST_02025,2025-06-01,8,51,Features
CUST_02025,2025-12-01,6,14,Features
CUST_02038,2024-12-01,8,37,Product
CUST_02040,2025-09-01,7,33,Product
CUST_02040,2025-07-01,5,-11,Features
CUST_02040,2025-09-01,8,8,Features
CUST_02043,2025-07-01,6,-1,Features
CUST_02050,2024-05-01,8,10,Features
CUST_02052,2025-05-01,7,27,Product
CUST_02053,2025-06-01,7,27,Features
CUST_02055,2025-10-01,7,43,Product
CUST_02055,2025-09-01,10,42,Product
CUST_02060,2025-12-01,8,36,Integration
CUST_02065,2025-11-01,6,13,Features
CUST_02068,2025-11-01,7,15,Support
CUST_02070,2024-11-01,6,21,Features
CUST_02072,2025-11-01,6,11,Features
CUST_02077,2025-12-01,6,39,Support
CUST_02078,2025-11-01,6,7,Support
CUST_02078,2025-03-01,7,40,Features
CUST_02083,2025-07-01,8,15,Product
CUST_02085,2024-10-01,8,27,Product
CUST_02103,2024-11-01,8,26,Features
CUST_02109,2024-11-01,7,18,Support
CUST_02113,2025-04-01,6,0,Features
CUST_02115,2025-10-01,10,40,Product
CUST_02118,2025-11-01,7,36,Support
CUST_02119,2025-10-01,7,9,Product
CUST_02121,2025-07-01,9,37,Features
CUST_02125,2025-05-01,6,-12,Support
CUST_02126,2025-12-01,5,11,Features
CUST_02127,2025-04-01,7,8,Features
CUST_02132,2025-09-01,9,44,Product
CUST_02136,2024-04-01,8,28,Integration
CUST_02144,2025-08-01,6,8,Features
CUST_02144,2024-05-01,8,39,Product
CUST_02148,2025-11-01,6,37,Features
CUST_02152,2025-10-01,8,30,Integration
CUST_02159,2025-09-01,6,22,Product
CUST_02171,2024-10-01,8,29,Product
CUST_02180,2025-01-01,8,17,Features
CUST_02185,2025-11-01,5,16,Features
CUST_02190,2025-03-01,7,37,Support
CUST_02191,2025-03-01,7,15,Support
CUST_02191,2025-12-01,7,21,Features
CUST_02192,2025-01-01,7,30,Support
CUST_02194,2024-11-01,8,59,Product
CUST_02200,2025-08-01,8,27,Integration
CUST_02204,2024-10-01,8,38,Product
CUST_02205,2025-08-01,7,18,Product
CUST_02212,2025-01-01,8,37,Product
CUST_02216,2025-11-01,5,0,Support
CUST_02222,2025-09-01,6,28,Support
CUST_02223,2025-12-01,6,-1,Support
CUST_02226,2025-11-01,8,29,Product
CUST_02233,2025-02-01,9,38,Features
CUST_02236,2025-08-01,7,27,Features
CUST_02244,2025-05-01,7,15,Support
CUST_02245,2024-10-01,8,22,Features
CUST_02245,2025-04-01,9,44,Product
CUST_02248,2025-03-01,8,17,Features
CUST_02248,2025-10-01,10,54,Features
CUST_02249,2024-12-01,7,25,Product
CUST_02252,2025-09-01,7,27,Features
CUST_02253,2025-09-01,7,15,Product
