customer_id,avg_session_duration,avg_feature_usage,avg_engagement_rate,avg_satisfaction,avg_nps,avg_monthly_revenue,latest_monthly_revenue,active_months,first_monthly_revenue,revenue_change,revenue_trend,cluster,customer_type,plan_type,region,industry,company_size,tenure_months
CUST_00040,63.7,6.7,0.7777777777777778,,,999.0,999,20,999,0,Stable,0,Enterprise,Enterprise,Europe,Retail,2148,19
CUST_00041,73.27272727272727,6.909090909090909,1.0,,,999.0,999,11,999,0,Stable,0,Enterprise,Enterprise,North America,Healthcare,598,10
CUST_00042,25.105263157894736,1.7894736842105263,1.0,,,29.0,29,19,29,0,Stable,1,SMB,Basic,Europe,Technology,35,18
CUST_00043,49.0,7.0,,,,299.0,299,1,299,0,Stable,0,Enterprise,Pro,North America,Education,1800,0
CUST_00044,36.833333333333336,4.333333333333333,0.0,,,499.0,499,6,499,0,Stable,1,Mid-market,Enterprise,North America,Retail,225,5
CUST_00045,28.88888888888889,1.4444444444444444,0.3333333333333333,,,29.0,29,9,29,0,Stable,1,SMB,Basic,North America,E-commerce,38,8
CUST_00046,23.058823529411764,1.8823529411764706,0.4,4.0,-21.0,99.0,99,17,99,0,Stable,1,SMB,Pro,Europe,Healthcare,21,16
CUST_00047,11.25,1.0,0.0,,,29.0,29,4,29,0,Stable,1,SMB,Basic,North America,Finance,48,3
CUST_00048,8.333333333333334,0.0,0.0,,,99.0,99,3,99,0,Stable,1,SMB,Pro,Latin America,Retail,30,2
CUST_00049,23.0,1.8888888888888888,0.0,,,99.0,99,9,99,0,Stable,1,SMB,Pro,North America,Education,24,8
CUST_00050,21.76923076923077,1.2307692307692308,0.0,,,299.0,299,13,299,0,Stable,1,SMB,Enterprise,Latin America,Healthcare,21,12
CUST_00051,29.57894736842105,1.631578947368421,0.3,7.0,32.0,29.0,29,19,29,0,Stable,1,SMB,Basic,North America,Retail,3,18
CUST_00052,15.0,1.0,,,,29.0,29,2,29,0,Stable,1,SMB,Basic,North America,E-commerce,27,1
CUST_00053,45.25,6.875,1.0,,,999.0,999,8,999,0,Stable,0,Enterprise,Enterprise,North America,Retail,4841,7
CUST_00054,24.210526315789473,1.8421052631578947,0.5,5.0,-10.0,29.0,29,19,29,0,Stable,1,SMB,Basic,Asia-Pacific,Technology,25,18
CUST_00055,61.36363636363637,6.2727272727272725,1.0,,,999.0,999,11,999,0,Stable,0,Enterprise,Enterprise,Europe,Retail,4615,10
CUST_00056,20.75,1.5,,,,29.0,29,4,29,0,Stable,1,SMB,Basic,Latin America,E-commerce,23,3
CUST_00057,22.2,1.8,0.21428571428571427,6.0,12.0,29.0,29,20,29,0,Stable,1,SMB,Basic,North America,E-commerce,22,19
CUST_00058,68.71428571428571,6.5,0.6666666666666666,,,299.0,299,14,299,0,Stable,0,Enterprise,Pro,Asia-Pacific,Technology,2991,13
CUST_00059,12.25,1.75,0.5,8.0,48.0,99.0,99,4,99,0,Stable,1,SMB,Pro,Latin America,Education,39,3
CUST_00060,40.05555555555556,3.2222222222222223,0.6,,,49.0,49,18,49,0,Stable,1,Mid-market,Basic,Europe,E-commerce,360,17
CUST_00061,57.0,3.0,1.0,,,999.0,999,3,999,0,Stable,0,Enterprise,Enterprise,North America,E-commerce,619,2
CUST_00062,41.0,2.0,,,,49.0,49,5,49,0,Stable,1,Mid-market,Basic,Latin America,Technology,328,4
CUST_00063,24.0,1.5,1.0,,,199.0,199,4,199,0,Stable,1,Mid-market,Pro,Latin America,Technology,288,3
CUST_00064,26.333333333333332,1.8571428571428572,0.0,,,99.0,99,21,99,0,Stable,1,SMB,Pro,North America,Finance,16,20
CUST_00065,39.333333333333336,3.4444444444444446,0.5,,,199.0,199,18,199,0,Stable,1,Mid-market,Pro,Asia-Pacific,E-commerce,125,17
CUST_00066,26.94736842105263,1.631578947368421,0.0,7.0,11.0,99.0,99,19,99,0,Stable,1,SMB,Pro,North America,Retail,28,18
CUST_00067,21.8,1.6,,7.0,3.0,29.0,29,10,29,0,Stable,1,SMB,Basic,Asia-Pacific,E-commerce,12,9
CUST_00068,35.09090909090909,2.727272727272727,0.3333333333333333,,,499.0,499,11,499,0,Stable,1,Mid-market,Enterprise,North America,Education,271,10
CUST_00069,21.857142857142858,1.8571428571428572,1.0,,,29.0,29,7,29,0,Stable,1,SMB,Basic,Latin America,Finance,31,6
CUST_00070,18.0,0.6666666666666666,0.0,,,99.0,99,3,99,0,Stable,1,SMB,Pro,Asia-Pacific,Finance,16,2
CUST_00071,41.61538461538461,3.0,0.5,,,49.0,49,13,49,0,Stable,1,Mid-market,Basic,Asia-Pacific,Healthcare,445,12
CUST_00072,14.5,1.0,1.0,,,29.0,29,2,29,0,Stable,1,SMB,Basic,Europe,Finance,37,1
CUST_00073,28.4375,1.6875,0.25,7.0,24.0,299.0,299,16,299,0,Stable,1,SMB,Enterprise,North America,Technology,29,15
CUST_00074,22.0,1.75,,,,29.0,29,8,29,0,Stable,1,SMB,Basic,North America,Finance,35,7
CUST_00075,20.0,0.0,,,,29.0,29,1,29,0,Stable,1,SMB,Basic,Asia-Pacific,Technology,34,0
CUST_00076,27.285714285714285,1.619047619047619,0.4,6.5,14.5,29.0,29,21,29,0,Stable,1,SMB,Basic,North America,Finance,11,20
CUST_00077,21.454545454545453,1.1818181818181819,,,,29.0,29,11,29,0,Stable,1,SMB,Basic,North America,Finance,10,10
CUST_00078,25.11111111111111,1.3333333333333333,0.0,10.0,50.0,29.0,29,9,29,0,Stable,1,SMB,Basic,Europe,Healthcare,18,8
CUST_00079,26.333333333333332,1.9047619047619047,0.3333333333333333,,,99.0,99,21,99,0,Stable,1,SMB,Pro,North America,Finance,13,20
CUST_00080,42.666666666666664,3.6666666666666665,0.6,,,49.0,49,15,49,0,Stable,1,Mid-market,Basic,Europe,Retail,133,14
CUST_00081,16.0,1.0,,,,99.0,99,1,99,0,Stable,1,SMB,Pro,North America,Retail,41,0
CUST_00082,22.40909090909091,2.1363636363636362,0.625,,,299.0,299,22,299,0,Stable,1,SMB,Enterprise,Europe,Education,47,21
CUST_00083,25.4,2.25,0.25,,,29.0,29,20,29,0,Stable,1,SMB,Basic,Europe,Retail,21,19
CUST_00084,62.0,6.888888888888889,1.0,7.0,26.0,999.0,999,9,999,0,Stable,0,Enterprise,Enterprise,Latin America,Finance,3482,8
CUST_00085,20.363636363636363,1.4545454545454546,0.3333333333333333,,,29.0,29,11,29,0,Stable,1,SMB,Basic,North America,Finance,18,10
CUST_00086,27.666666666666668,2.3333333333333335,0.0,,,499.0,499,3,499,0,Stable,1,Mid-market,Enterprise,North America,Retail,56,2
CUST_00087,46.31578947368421,3.0526315789473686,1.0,9.0,52.0,49.0,49,19,49,0,Stable,0,Mid-market,Basic,Latin America,Technology,243,18
CUST_00088,21.875,1.375,,,,29.0,29,8,29,0,Stable,1,SMB,Basic,North America,Finance,17,7
CUST_00089,56.625,6.75,1.0,,,999.0,999,8,999,0,Stable,0,Enterprise,Enterprise,North America,Education,3986,7
CUST_00090,22.2,1.7,0.3333333333333333,5.0,-15.0,99.0,99,10,99,0,Stable,1,SMB,Pro,Latin America,Technology,39,9
CUST_00091,22.45,1.9,,,,29.0,29,20,29,0,Stable,1,SMB,Basic,Europe,Education,20,19
CUST_00092,32.0,4.333333333333333,,,,499.0,499,6,499,0,Stable,1,Mid-market,Enterprise,Asia-Pacific,Retail,397,5
CUST_00093,17.833333333333332,1.5,0.0,6.0,28.0,29.0,29,18,29,0,Stable,1,SMB,Basic,Latin America,Retail,38,17
CUST_00094,63.714285714285715,7.095238095238095,0.7,,,99.0,99,21,99,0,Stable,0,Enterprise,Basic,North America,Finance,4675,20
CUST_00095,72.22222222222223,6.833333333333333,0.875,,,99.0,99,18,99,0,Stable,0,Enterprise,Basic,Asia-Pacific,Healthcare,4012,17
CUST_00096,24.90909090909091,2.4545454545454546,0.0,6.0,-3.0,29.0,29,11,29,0,Stable,1,SMB,Basic,Europe,Retail,3,10
CUST_00097,27.666666666666668,1.3333333333333333,1.0,,,499.0,499,3,499,0,Stable,1,Mid-market,Enterprise,Latin America,Technology,407,2
CUST_00098,31.90909090909091,2.8181818181818183,0.5,,,49.0,49,11,49,0,Stable,1,Mid-market,Basic,Europe,Education,185,10
CUST_00099,14.0,1.0,1.0,,,29.0,29,2,29,0,Stable,1,SMB,Basic,Latin America,Finance,27,1
CUST_00100,22.875,1.75,,,,29.0,29,8,29,0,Stable,1,SMB,Basic,Asia-Pacific,Finance,28,7
CUST_00101,14.0,0.6666666666666666,,,,99.0,99,3,99,0,Stable,1,SMB,Pro,Asia-Pacific,Healthcare,47,2
CUST_00102,29.4,1.4,0.5,10.0,47.0,99.0,99,10,99,0,Stable,1,SMB,Pro,North America,Healthcare,33,9
CUST_00103,39.333333333333336,4.083333333333333,0.5,,,499.0,499,12,499,0,Stable,1,Mid-market,Enterprise,North America,Retail,331,11
CUST_00104,23.0,1.5,0.0,,,99.0,99,8,99,0,Stable,1,SMB,Pro,Asia-Pacific,Retail,34,7
CUST_00105,23.952380952380953,1.5714285714285714,0.5,5.0,-3.0,29.0,29,21,29,0,Stable,1,SMB,Basic,Asia-Pacific,E-commerce,5,20
CUST_00106,64.33333333333333,6.333333333333333,,,,999.0,999,3,999,0,Stable,0,Enterprise,Enterprise,Asia-Pacific,Finance,4678,2
CUST_00107,26.3,1.7,1.0,,,29.0,29,20,29,0,Stable,1,SMB,Basic,Latin America,Retail,13,19
CUST_00108,73.9,8.2,0.7333333333333333,,,999.0,999,10,999,0,Stable,0,Enterprise,Enterprise,North America,Technology,2074,9
CUST_00109,23.05263157894737,1.894736842105263,0.5,,,29.0,29,19,29,0,Stable,1,SMB,Basic,Europe,Healthcare,12,18
CUST_00110,72.0,6.869565217391305,0.8571428571428571,,,99.0,99,23,99,0,Stable,0,Enterprise,Basic,Europe,Healthcare,3314,22
CUST_00111,19.733333333333334,2.066666666666667,0.5,,,99.0,99,15,99,0,Stable,1,SMB,Pro,Asia-Pacific,E-commerce,39,14
CUST_00112,27.0,2.3333333333333335,,,,499.0,499,3,499,0,Stable,1,Mid-market,Enterprise,Europe,Technology,335,2
CUST_00113,21.357142857142858,2.0,0.0,8.0,19.0,99.0,99,14,99,0,Stable,1,SMB,Pro,Europe,Education,33,13
CUST_00114,24.6,1.7,0.0,7.0,23.0,29.0,29,10,29,0,Stable,1,SMB,Basic,Asia-Pacific,Healthcare,29,9
CUST_00115,72.65,7.85,0.875,,,999.0,999,20,999,0,Stable,0,Enterprise,Enterprise,North America,Education,4664,19
CUST_00116,24.25,3.5,,,,49.0,49,4,49,0,Stable,1,Mid-market,Basic,Europe,E-commerce,289,3
CUST_00117,29.666666666666668,1.6666666666666667,0.5,,,29.0,29,21,29,0,Stable,1,SMB,Basic,North America,Healthcare,8,20
CUST_00118,18.666666666666668,0.6666666666666666,0.0,,,199.0,199,3,199,0,Stable,1,Mid-market,Pro,Europe,Healthcare,209,2
CUST_00119,22.59090909090909,2.227272727272727,0.0,8.5,19.0,29.0,29,22,29,0,Stable,1,SMB,Basic,North America,Finance,42,21
CUST_00120,24.428571428571427,2.0,0.5,,,29.0,29,7,29,0,Stable,1,SMB,Basic,North America,Retail,46,6
CUST_00121,23.0,1.8571428571428572,0.0,,,29.0,29,7,29,0,Stable,1,SMB,Basic,North America,Healthcare,47,6
CUST_00122,27.0,2.0,,,,199.0,199,2,199,0,Stable,1,Mid-market,Pro,Latin America,Healthcare,110,1
CUST_00123,14.333333333333334,0.3333333333333333,0.6666666666666666,,,99.0,99,3,99,0,Stable,1,SMB,Pro,Europe,Retail,15,2
CUST_00124,27.8,1.8,0.3333333333333333,,,29.0,29,15,29,0,Stable,1,SMB,Basic,Asia-Pacific,Technology,14,14
CUST_00125,41.35294117647059,3.3529411764705883,0.75,5.0,1.0,49.0,49,17,49,0,Stable,1,Mid-market,Basic,North America,Healthcare,56,16
CUST_00126,71.70833333333333,7.583333333333333,0.8333333333333334,,,999.0,999,24,999,0,Stable,0,Enterprise,Enterprise,North America,Education,2406,23
CUST_00127,28.125,2.3333333333333335,0.2,7.0,26.0,99.0,99,24,99,0,Stable,1,SMB,Pro,North America,Education,17,23
CUST_00128,26.235294117647058,1.2941176470588236,0.5,9.0,27.0,29.0,29,17,29,0,Stable,1,SMB,Basic,Latin America,Retail,20,16
CUST_00129,42.0,4.714285714285714,,,,199.0,199,7,199,0,Stable,1,Mid-market,Pro,Europe,Finance,277,6
CUST_00130,40.80952380952381,3.238095238095238,0.7142857142857143,,,199.0,199,21,199,0,Stable,1,Mid-market,Pro,Europe,Retail,91,20
CUST_00131,24.545454545454547,1.8181818181818181,0.625,,,99.0,99,11,99,0,Stable,1,SMB,Pro,North America,Technology,45,10
CUST_00132,20.333333333333332,1.4166666666666667,0.0,,,29.0,29,12,29,0,Stable,1,SMB,Basic,North America,E-commerce,48,11
CUST_00133,62.875,7.625,1.0,,,99.0,99,8,99,0,Stable,0,Enterprise,Basic,North America,E-commerce,3370,7
CUST_00134,22.75,2.05,0.5,,,29.0,29,20,29,0,Stable,1,SMB,Basic,Latin America,Finance,31,19
CUST_00135,26.958333333333332,1.9166666666666667,0.25,,,299.0,299,24,299,0,Stable,1,SMB,Enterprise,North America,Education,49,23
CUST_00136,23.6,1.6,0.0,,,29.0,29,5,29,0,Stable,1,SMB,Basic,Asia-Pacific,Retail,11,4
CUST_00137,25.1,1.8,0.3333333333333333,,,99.0,99,10,99,0,Stable,1,SMB,Pro,North America,Finance,4,9
CUST_00138,21.0,3.0,,,,29.0,29,1,29,0,Stable,1,SMB,Basic,Europe,Retail,38,0
CUST_00139,67.55,7.4,0.85,,,299.0,299,20,299,0,Stable,0,Enterprise,Pro,North America,Healthcare,2539,19
CUST_00140,19.916666666666668,1.5833333333333333,0.3333333333333333,7.5,34.0,29.0,29,12,29,0,Stable,1,SMB,Basic,North America,Technology,2,11
CUST_00141,15.6,0.8,0.0,7.0,-6.0,29.0,29,5,29,0,Stable,1,SMB,Basic,North America,Retail,15,4
CUST_00142,22.666666666666668,0.6666666666666666,,5.0,-10.0,29.0,29,6,29,0,Stable,1,SMB,Basic,Latin America,Retail,44,5
CUST_00143,80.85714285714286,8.285714285714286,1.0,,,999.0,999,14,999,0,Stable,0,Enterprise,Enterprise,North America,Technology,2070,13
CUST_00144,40.75,3.75,0.6666666666666666,,,199.0,199,8,199,0,Stable,1,Mid-market,Pro,North America,Finance,410,7
CUST_00145,27.11764705882353,1.6470588235294117,0.625,,,29.0,29,17,29,0,Stable,1,SMB,Basic,North America,Finance,19,16
CUST_00146,39.25,3.5,0.0,,,499.0,499,12,499,0,Stable,1,Mid-market,Enterprise,Latin America,Retail,138,11
CUST_00147,44.63636363636363,3.1818181818181817,0.25,,,199.0,199,11,199,0,Stable,1,Mid-market,Pro,Latin America,E-commerce,174,10
CUST_00148,23.636363636363637,1.5454545454545454,1.0,,,29.0,29,11,29,0,Stable,1,SMB,Basic,North America,Retail,33,10
CUST_00149,22.25,0.0,1.0,,,29.0,29,4,29,0,Stable,1,SMB,Basic,Europe,Healthcare,6,3
CUST_00150,11.333333333333334,1.3333333333333333,,,,99.0,99,3,99,0,Stable,1,SMB,Pro,North America,Technology,15,2
CUST_00151,24.75,3.5,0.25,,,199.0,199,4,199,0,Stable,1,Mid-market,Pro,Asia-Pacific,Healthcare,87,3
CUST_00152,22.3,1.0,0.0,,,29.0,29,10,29,0,Stable,1,SMB,Basic,North America,Retail,22,9
CUST_00153,19.571428571428573,1.8571428571428572,,,,99.0,99,7,99,0,Stable,1,SMB,Pro,Asia-Pacific,E-commerce,31,6
CUST_00154,22.470588235294116,1.7058823529411764,0.42857142857142855,,,29.0,29,17,29,0,Stable,1,SMB,Basic,Europe,Finance,29,16
CUST_00155,27.565217391304348,1.9130434782608696,0.3333333333333333,,,99.0,99,23,99,0,Stable,1,SMB,Pro,Europe,Healthcare,36,22
CUST_00156,43.2,3.8,0.6666666666666666,9.0,34.0,199.0,199,15,199,0,Stable,0,Mid-market,Pro,North America,Education,379,14
CUST_00157,14.166666666666666,2.3333333333333335,1.0,,,29.0,29,6,29,0,Stable,1,SMB,Basic,Latin America,Technology,12,5
CUST_00158,12.0,2.0,,,,29.0,29,3,29,0,Stable,1,SMB,Basic,North America,Retail,40,2
CUST_00159,43.5,9.0,,,,999.0,999,2,999,0,Stable,0,Enterprise,Enterprise,Asia-Pacific,Education,4376,1
CUST_00160,25.818181818181817,1.8181818181818181,0.5,,,29.0,29,11,29,0,Stable,1,SMB,Basic,North America,Technology,29,10
CUST_00161,74.44444444444444,7.888888888888889,1.0,,,999.0,999,9,999,0,Stable,0,Enterprise,Enterprise,North America,Retail,3976,8
CUST_00162,43.07692307692308,3.076923076923077,0.75,,,49.0,49,13,49,0,Stable,1,Mid-market,Basic,North America,Retail,487,12
CUST_00163,20.333333333333332,0.8333333333333334,,,,29.0,29,6,29,0,Stable,1,SMB,Basic,Asia-Pacific,Retail,10,5
CUST_00164,36.9,2.6,0.3333333333333333,9.0,25.0,199.0,199,10,199,0,Stable,1,Mid-market,Pro,North America,Healthcare,74,9
CUST_00165,40.6,5.2,1.0,,,299.0,299,5,299,0,Stable,0,Enterprise,Pro,Europe,Technology,4100,4
CUST_00166,18.666666666666668,1.0,,,,29.0,29,3,29,0,Stable,1,SMB,Basic,North America,Healthcare,25,2
CUST_00167,16.5,2.0,0.0,,,99.0,99,4,99,0,Stable,1,SMB,Pro,Asia-Pacific,Retail,43,3
CUST_00168,10.333333333333334,0.3333333333333333,,,,29.0,29,3,29,0,Stable,1,SMB,Basic,North America,Retail,20,2
CUST_00169,25.46153846153846,1.6153846153846154,0.5,,,29.0,29,13,29,0,Stable,1,SMB,Basic,Europe,Education,40,12
CUST_00170,12.5,1.3333333333333333,,,,29.0,29,6,29,0,Stable,1,SMB,Basic,Asia-Pacific,E-commerce,19,5
CUST_00171,27.285714285714285,1.7142857142857142,0.75,,,29.0,29,14,29,0,Stable,1,SMB,Basic,North America,Finance,16,13
CUST_00172,20.545454545454547,1.2727272727272727,0.0,,,29.0,29,11,29,0,Stable,1,SMB,Basic,Europe,Healthcare,2,10
CUST_00173,26.75,1.75,1.0,6.0,21.0,29.0,29,4,29,0,Stable,1,SMB,Basic,Asia-Pacific,E-commerce,4,3
CUST_00174,59.5,9.0625,0.6,,,999.0,999,16,999,0,Stable,0,Enterprise,Enterprise,North America,Technology,2401,15
CUST_00175,25.57894736842105,1.5263157894736843,0.0,5.0,9.0,29.0,29,19,29,0,Stable,1,SMB,Basic,Asia-Pacific,Education,7,18
CUST_00176,19.692307692307693,2.3846153846153846,0.25,,,29.0,29,13,29,0,Stable,1,SMB,Basic,North America,Healthcare,8,12
CUST_00177,21.444444444444443,1.6666666666666667,0.0,5.0,-13.0,29.0,29,9,29,0,Stable,1,SMB,Basic,Asia-Pacific,Healthcare,47,8
CUST_00178,20.4,1.4,0.0,,,29.0,29,5,29,0,Stable,1,SMB,Basic,Europe,E-commerce,46,4
CUST_00179,52.625,6.875,0.6666666666666666,,,999.0,999,8,999,0,Stable,0,Enterprise,Enterprise,North America,E-commerce,1322,7
CUST_00180,39.9,3.3,0.6666666666666666,,,199.0,199,10,199,0,Stable,1,Mid-market,Pro,North America,Finance,430,9
CUST_00181,29.666666666666668,2.6666666666666665,1.0,9.0,17.0,199.0,199,6,199,0,Stable,1,Mid-market,Pro,Asia-Pacific,Retail,453,5
CUST_00182,18.571428571428573,0.5714285714285714,,,,29.0,29,7,29,0,Stable,1,SMB,Basic,Asia-Pacific,Education,37,6
CUST_00183,26.375,1.5,0.5,,,29.0,29,16,29,0,Stable,1,SMB,Basic,North America,Education,22,15
CUST_00184,23.076923076923077,1.9230769230769231,0.5,,,99.0,99,13,99,0,Stable,1,SMB,Pro,Latin America,Healthcare,32,12
CUST_00185,21.0,2.0,,,,29.0,29,1,29,0,Stable,1,SMB,Basic,Europe,Retail,45,0
CUST_00186,26.4,1.5333333333333334,0.3333333333333333,6.0,25.0,29.0,29,15,29,0,Stable,1,SMB,Basic,Europe,Healthcare,26,14
CUST_00187,67.4,8.0,1.0,,,999.0,999,10,999,0,Stable,0,Enterprise,Enterprise,North America,Finance,2675,9
CUST_00188,21.695652173913043,2.0434782608695654,0.42857142857142855,7.0,9.0,29.0,29,23,29,0,Stable,1,SMB,Basic,Europe,Retail,38,22
CUST_00189,35.25,3.25,0.8,,,49.0,49,12,49,0,Stable,1,Mid-market,Basic,North America,E-commerce,362,11
CUST_00190,65.7,6.7,0.75,10.0,54.0,999.0,999,10,999,0,Stable,0,Enterprise,Enterprise,Europe,Education,954,9
CUST_00191,15.0,3.5,,,,199.0,199,2,199,0,Stable,1,Mid-market,Pro,Europe,E-commerce,113,1
CUST_00192,12.0,0.5,0.0,,,99.0,99,4,99,0,Stable,1,SMB,Pro,North America,Healthcare,26,3
CUST_00193,21.181818181818183,1.4545454545454546,0.5,,,29.0,29,11,29,0,Stable,1,SMB,Basic,Asia-Pacific,Education,39,10
CUST_00194,72.17647058823529,7.882352941176471,0.8333333333333334,7.0,35.0,999.0,999,17,999,0,Stable,0,Enterprise,Enterprise,North America,E-commerce,2285,16
CUST_00195,18.0,1.0,,7.0,21.0,29.0,29,6,29,0,Stable,1,SMB,Basic,North America,Education,45,5
CUST_00196,39.333333333333336,3.5555555555555554,0.5,,,199.0,199,9,199,0,Stable,1,Mid-market,Pro,North America,Retail,66,8
CUST_00197,19.0,0.0,,,,29.0,29,1,29,0,Stable,1,SMB,Basic,Europe,Technology,35,0
CUST_00198,22.7,1.3,0.5,8.0,46.0,29.0,29,20,29,0,Stable,1,SMB,Basic,North America,Healthcare,34,19
CUST_00199,19.75,1.5,0.0,,,29.0,29,4,29,0,Stable,1,SMB,Basic,Latin America,Healthcare,17,3
CUST_00200,44.125,3.0,0.25,8.0,30.0,199.0,199,8,199,0,Stable,1,Mid-market,Pro,Europe,Education,265,7
CUST_00201,38.76923076923077,3.769230769230769,0.75,,,499.0,499,13,499,0,Stable,1,Mid-market,Enterprise,Asia-Pacific,Finance,247,12
CUST_00202,18.666666666666668,1.0,,,,29.0,29,3,29,0,Stable,1,SMB,Basic,Latin America,Healthcare,45,2
CUST_00203,21.714285714285715,2.0,1.0,,,99.0,99,7,99,0,Stable,1,SMB,Pro,North America,Retail,21,6
